tanggal,periode_data,tahun,bulan,nama_bulan,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori,is_unhealthy_or_worse,source_row_count,quality_notes
2010-01-01,201001,2010,1,Januari,DKI1 Bunderan HI,60.0,,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,False,1,pm25_missing_not_imputed
2010-01-02,201001,2010,1,Januari,DKI1 Bunderan HI,32.0,,2.0,16.0,33.0,9.0,33.0,O3,BAIK,False,1,pm25_missing_not_imputed
2010-01-03,201001,2010,1,Januari,DKI1 Bunderan HI,27.0,,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-04,201001,2010,1,Januari,DKI1 Bunderan HI,22.0,,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-05,201001,2010,1,Januari,DKI1 Bunderan HI,25.0,,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-06,201001,2010,1,Januari,DKI1 Bunderan HI,30.0,,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-07,201001,2010,1,Januari,DKI1 Bunderan HI,41.0,,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-08,201001,2010,1,Januari,DKI1 Bunderan HI,64.0,,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,False,1,pm25_missing_not_imputed
2010-01-09,201001,2010,1,Januari,DKI1 Bunderan HI,55.0,,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,False,1,pm25_missing_not_imputed
2010-01-10,201001,2010,1,Januari,DKI1 Bunderan HI,34.0,,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-11,201001,2010,1,Januari,DKI1 Bunderan HI,55.0,,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,False,1,pm25_missing_not_imputed
2010-01-12,201001,2010,1,Januari,DKI1 Bunderan HI,45.0,,4.0,33.0,9.0,17.0,45.0,PM10,BAIK,False,1,pm25_missing_not_imputed
2010-01-13,201001,2010,1,Januari,DKI1 Bunderan HI,28.0,,5.0,29.0,10.0,12.0,29.0,CO,BAIK,False,1,pm25_missing_not_imputed
